Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_DNN,SWC_ANN,SWC_DNN_2HiddenLayers,SWC_DNN_3HiddenLayers,SWC_DNN_4HiddenLayers,SWC_DNN_5HiddenLayers,SWC_DNN_6HiddenLayers,SWC_DNN_7HiddenLayers,SWC_DNN_8HiddenLayers,SWC_DNN_9HiddenLayers,SWC_DNN_10HiddenLayers
0.389,0.392,9.422,0.3889355358288712,0.3881599328310422,0.38800577293542654,0.38791562878307134,0.3890070797486909,0.38786145740285316,0.3879132989048455,0.3818601109732477,0.3891523171919433,0.38794787055530705,
0.38799999999999996,0.392,9.993,0.3885042824433387,0.38791848122947903,0.3877975717311488,0.38760000216512197,0.3885709657944797,0.38754138096850776,0.3875186754951023,0.3818601109732477,0.3886785098699219,0.38765407770314086,
0.387,0.392,10.845,0.3878608070450722,0.3875582126842704,0.38748695172713427,0.38712905185342256,0.38792021551689493,0.38706375821417144,0.38692983927826485,0.3818601109732477,0.38672230668742513,0.38721575025051724,
0.387,0.392,11.415999999999999,0.38742957191519667,0.3873167656466215,0.38727875508677084,0.38681342067155894,0.3874840924348552,0.386743681779826,0.38790886278019227,0.3818601109732477,0.38561626945185506,0.38692200417847217,
0.389,0.392,11.985,0.38699981549353896,0.3876040937142492,0.38707129323660205,0.3864989008028158,0.3870495028280042,0.3864247006849012,0.388042713257385,0.3818601109732477,0.38544565208144543,0.3866292655904983,
0.387,0.392,12.842,0.3863525794299285,0.38693712556736876,0.3867588248473153,0.3860251847590795,0.386394927990276,0.3859442848150424,0.38658260755411805,0.3818601109732477,0.3851887949873235,0.3861883777819791,
0.385,0.392,13.407,0.3859258534473343,0.38649740612089817,0.38655281888579296,0.3857128715428773,0.38596339164205984,0.3856275582937582,0.3846560880699185,0.3818601109732477,0.38501947376856155,0.3858855050224079,
0.386,0.392,13.975999999999999,0.38549613353699064,0.3860545763668646,0.3863453524717099,0.38539834482826274,0.385528804317166,0.3853085954544904,0.38578227955082695,0.3818601109732477,0.38484891116512293,0.3855776895437014,
0.387,0.392,14.263,0.38527934761000426,0.3858312161213977,0.38624071104573215,0.3852397054508084,0.38530960179758306,0.38514770834926676,0.3856883359398567,0.3818601109732477,0.38476294527626576,0.38542243202670806,
0.385,0.392,14.55,0.38506261644998896,0.3856078558759309,0.38613606961975444,0.3850810637913969,0.3850903924321287,0.3849868121162146,0.38530137990605745,0.3818601109732477,0.3846768881091236,0.3852671288705722,
0.38299999999999995,0.392,14.831,0.38485037618159795,0.385389162232787,0.3860336097447893,0.3849257332517755,0.3848757720824551,0.38482931143536625,0.3849224654891708,0.3818601109732477,0.38459271127465333,0.38511515280792624,
0.384,0.392,15.686,0.38425369003224646,0.38472375038066664,0.3857218761456972,0.3844531262392025,0.3842227398477442,0.38434998177709956,0.38395022396382245,0.3818601109732477,0.3843364566172127,0.38504256146978555,
0.386,0.392,15.972999999999999,0.38411284763841913,0.38450038785324264,0.3856172347197194,0.38429448457979104,0.38400352820033273,0.3841891129275329,0.3843034435434684,0.3818601109732477,0.38425041770572754,0.38518323043487135,
0.385,0.392,16.256,0.3839739768555488,0.384280142479253,0.3855140491823882,0.38413805413683483,0.38378737665742746,0.3840304530124644,0.38589670600896175,0.3818601109732477,0.38416560192326193,0.3843401157354645,
0.38299999999999995,0.392,17.11,0.38355492737672703,0.38361550649255555,0.38520267156860777,0.38366599251201494,0.38313509746856816,0.38355172579087904,0.383732278802616,0.3818601109732477,0.3839096576119905,0.3831459949548242,
0.382,0.392,17.396,0.38341455962998194,0.38339292325349017,0.38509839525577017,0.3835079008042709,0.3829166548407082,0.38339141373885116,0.3831576580376961,0.3818601109732477,0.3838239473023315,0.38293200214336026,
0.38299999999999995,0.392,17.963,0.38313635254498757,0.38295164979421664,0.38489166363188176,0.3831944876847339,0.3824835941451318,0.38307357362248945,0.3824533673410385,0.3818601109732477,0.3836539871355742,0.38250777262186214,
0.38299999999999995,0.392,18.531,0.38285762517376837,0.3825095970465845,0.38468456689485314,0.38288051776765814,0.382436519651576,0.3827551584529319,0.38229731113905097,0.3818601109732477,0.38348376226179026,0.3821477870393371,
0.38299999999999995,0.392,19.102999999999998,0.3825769444472492,0.3820644317094323,0.38447600057743525,0.38256433435216997,0.3824143413102667,0.38233178238339893,0.3821400979848005,0.3818601109732477,0.38331235989812923,0.38197148531372616,
0.381,0.392,19.387,0.3824376081451252,0.38185885361487115,0.38437246133674946,0.38240735167558926,0.38240340160780384,0.3820871565794733,0.38206203223151414,0.3818601109732477,0.38321606130740477,0.38183839701021355,
0.382,0.392,19.67,0.3822987008509408,0.38174308992986045,0.3840919220915721,0.38225091895067587,0.3824120844546689,0.3818433979192556,0.3819842996439682,0.3818601109732477,0.3829681494852174,0.3817057742259547,
0.382,0.391,20.526,0.38187868382229756,0.3813929395825492,0.3823536709161532,0.38177775742252124,0.3824559893097765,0.38155576178741585,0.38174908463123086,0.3818601109732477,0.38221822078701495,0.3813046107270879,
