Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_rbf,SWC_quad,SWC_linear
0.106,0.12300000000000001,75.751,0.10974678266040175,0.16838863500963275,0.11514873959693425
0.099,0.121,76.89,0.10296425479144516,0.17226465171562824,0.11075117009017613
0.099,0.12,77.46,0.09963867853471865,0.17430592650215473,0.1085504548849124
0.092,0.11900000000000001,78.598,0.09325222262215482,0.1785839685552331,0.10415674628196529
0.091,0.11800000000000001,79.452,0.08877564595517282,0.18197174724007786,0.10085953437776089
0.08800000000000001,0.11599999999999999,80.876,0.08215520283102586,0.1879589029038193,0.09536160726852197
0.084,0.115,81.73,0.07881974324400481,0.19175234744562544,0.09206439536438009
0.08,0.113,83.15299999999999,0.07455444408003829,0.19841110170113443,0.086570329158848
0.079,0.11199999999999999,84.57700000000001,0.0721570044208628,0.2054972276238508,0.08107240204923401
0.07,0.111,84.861,0.07192425826038383,0.2069610465108714,0.07997590535089766
0.068,0.11,86.0,0.07186011489821374,0.21300077279216043,0.0755783358438478
0.079,0.11,86.285,0.07206713573462148,0.21455434379631552,0.07447797824130449
0.069,0.109,86.854,0.07275288102708809,0.2177066983896351,0.07228112393963299
0.07,0.109,87.708,0.07446864385485955,0.22256470416512442,0.06898391203562654
0.07400000000000001,0.10800000000000001,87.993,0.07522481329130867,0.22421978067246204,0.06788355443314574
0.07,0.10800000000000001,88.56200000000001,0.07700748320442008,0.22757479011654458,0.06568670013141173
0.07,0.10800000000000001,88.56200000000001,0.07700748320442008,0.22757479011654458,0.06568670013141173
0.07,0.107,88.84700000000001,0.07803588648502675,0.22928061937489003,0.06458634252903511
0.07200000000000001,0.107,89.132,0.0791536117348413,0.23100338602847129,0.06348598492636678
0.07,0.107,89.132,0.0791536117348413,0.23100338602847129,0.06348598492636678
