Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_rbf,SWC_quad,SWC_linear
0.38299999999999995,0.392,17.963,0.3830182191404168,0.3738421618434908,0.3811540867341283
0.38299999999999995,0.392,18.531,0.38277942833660783,0.3734952415541508,0.380473231125323
0.38299999999999995,0.392,19.102999999999998,0.3825721890465379,0.37317039633671156,0.37978758075877983
0.381,0.392,19.387,0.38248060315469773,0.37301825024782914,0.37944715295492126
0.382,0.392,19.67,0.38239600438490634,0.3728726732094894,0.3791079238400363
0.382,0.391,20.526,0.3821725930077125,0.37246900059505783,0.3780818456695431
0.382,0.391,20.809,0.38210630757479097,0.37234766326429036,0.37774261655443836
0.38299999999999995,0.391,21.38,0.3819772919535668,0.3721211798459812,0.37705816487799393
0.38,0.391,21.664,0.3819129598182073,0.3720176631208182,0.3767177370735282
0.381,0.391,21.949,0.3818464943322155,0.371919879295302,0.3763761105800213
0.38299999999999995,0.39,22.521,0.3817015534599121,0.3717420570860881,0.37569046021367836
0.381,0.39,23.09,0.38153210064468024,0.3715895784861507,0.3750084059157721
0.38,0.389,23.373,0.38143462364444264,0.3715228070994951,0.3746691768007772
0.38,0.389,23.654,0.3813271337980616,0.3714624665852235,0.3743323450649973
0.379,0.38799999999999996,24.51,0.38091830232950624,0.37131524846297975,0.37330626689442575
0.379,0.38799999999999996,24.795,0.38074978219346733,0.37127846002190174,0.37296464040068494
0.38,0.387,25.08,0.3805625014080128,0.3712477796920672,0.37262301390699254
0.381,0.387,25.366,0.38035418152766987,0.3712231320087379,0.372280188723792
0.379,0.387,25.366,0.38035418152766987,0.3712231320087379,0.372280188723792
0.37799999999999995,0.386,25.651,0.3801247869129997,0.3712046893333305,0.3719385622300596
0.37799999999999995,0.385,25.934,0.3798740212059608,0.37119242004591463,0.37159933311529364
0.379,0.385,26.221999999999998,0.37959386136863826,0.3711861172225527,0.3712541105532172
0.37799999999999995,0.384,26.506,0.3792915266230378,0.37118600997442835,0.37091368274896025
0.379,0.38299999999999995,26.791999999999998,0.3789595167206406,0.3711920315142289,0.3705708575657897
0.37799999999999995,0.38299999999999995,27.075,0.37860244294974754,0.371204044497524,0.37023162845098334
0.37799999999999995,0.38299999999999995,27.076,0.3786011293040499,0.37120409762461415,0.3702304297615369
0.37799999999999995,0.381,27.647,0.3777887150066481,0.37124671378592883,0.369545978084669
0.37799999999999995,0.381,27.642,0.37779638392853043,0.37124623420678204,0.3695519715318984
0.37799999999999995,0.381,27.644000000000002,0.3777933175678736,0.3712464258128528,0.3695495741530409
0.379,0.379,28.213,0.3768538419701232,0.37131315392038683,0.3688675198550503
0.38,0.379,28.21,0.3768591546684561,0.3713127382578643,0.3688711159234554
0.379,0.37799999999999995,28.498,0.3763311328070933,0.3713557280612817,0.3685258933613095
0.38,0.377,28.78,0.37577804552562055,0.37140386605912395,0.36818786293598027
0.379,0.377,28.781999999999996,0.3757739926007726,0.37140422882014273,0.3681854655569427
0.38,0.376,29.065,0.3751815963245061,0.3714585921265617,0.36784623644228187
0.379,0.375,29.353,0.37453935931804766,0.37152009915140183,0.36750101388018713
0.373,0.377,28.781999999999996,0.3757739926007726,0.37140422882014273,0.3681854655569427
0.374,0.375,29.355,0.37453475757232385,0.37152054809144464,0.3674986165012714
0.373,0.374,29.636,0.37386838152256363,0.3715866142339356,0.36716178476542183
0.373,0.37200000000000005,29.92,0.37315409333648214,0.3716594189963032,0.3668213569612107
0.37,0.37200000000000005,29.921999999999997,0.3731489149219996,0.3716599532130526,0.36681895958215355
0.37200000000000005,0.37200000000000005,29.921999999999997,0.3731489149219996,0.3716599532130526,0.36681895958215355
0.371,0.37200000000000005,29.921,0.3731515043907699,0.37165968606711486,0.3668201582717387
0.37,0.371,30.208000000000002,0.37238665718062025,0.37173944324243724,0.3664761343991507
0.37,0.37,30.491999999999997,0.3715862125551083,0.37182446407686925,0.36613570659477307
