Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_DNN,SWC_ANN,SWC_DNN_2HiddenLayers,SWC_DNN_3HiddenLayers,SWC_DNN_4HiddenLayers,SWC_DNN_5HiddenLayers,SWC_DNN_6HiddenLayers,SWC_DNN_7HiddenLayers,SWC_DNN_8HiddenLayers,SWC_DNN_9HiddenLayers,SWC_DNN_10HiddenLayers
0.17300000000000001,0.142,64.933,0.1657935072189372,0.16387784233687744,0.16905053040768697,0.16609645869663503,0.1702228343567448,0.17120937693718224,0.16187950547253807,0.1656355157594591,0.15820765023262878,0.1664698175117141,
0.163,0.14,65.78699999999999,0.15846947261081384,0.15896586502851445,0.16440830837164266,0.1694020652287654,0.16522021393457223,0.16702549155006222,0.1579530711098207,0.1657036220249493,0.1550361859495875,0.16106294587221698,
0.162,0.139,66.072,0.1575736468877362,0.15761602894479204,0.162824067488582,0.17050520319020399,0.16355073643242998,0.1652447841930078,0.15664259906008038,0.1657069322909813,0.15397785129177025,0.1592588181098619,
0.162,0.138,66.641,0.15500555779506364,0.15492108592391024,0.1596611465323956,0.16590320416393972,0.16021754981251807,0.16168961583072677,0.1540264619475769,0.16458794219748846,0.1518646561167238,0.15565744531650538,
0.161,0.138,66.926,0.15371925177985402,0.15357124847456652,0.15807690018684972,0.1634954670071629,0.1585480395354646,0.159908924861128,0.15271616469736302,0.16264523118557558,0.15080633238387697,0.15385267844338174,
0.157,0.13699999999999998,67.211,0.15243288021482196,0.1522214137564654,0.15649266476627424,0.16108771551136242,0.15687856203332232,0.1581281533198725,0.15140551784809625,0.16070248739875148,0.1497479321762373,0.15204780778303925,
0.158,0.136,67.78,0.14986472557232697,0.1495264802949327,0.15332973834760263,0.15628069849052176,0.1535453972633512,0.15457300817315356,0.14878955553511922,0.15682375145681215,0.14763481347598367,0.14844550090471334,
0.156,0.135,68.065,0.14857839770717654,0.14817664011434636,0.15174550292702715,0.1538729906946029,0.15187590883623855,0.1527923035473418,0.1474794330844318,0.15488114969460332,0.1465764351182848,0.1466411437179798,
0.154,0.135,68.34899999999999,0.1472966364796544,0.1468315386396722,0.15016681739141624,0.15147369239465147,0.15021228711823212,0.15101780703596132,0.14617324362308928,0.15294523401428087,0.14551550031751173,0.14484310662662417,
0.15,0.134,68.634,0.14601039601426719,0.14548170119032847,0.14858258743332595,0.14926803646384468,0.14854275499123784,0.14923706963523833,0.1448632959719283,0.15100240282769356,0.1444490156317741,0.1430394158630852,
0.147,0.133,69.203,0.14344230692159463,0.14278675680382538,0.14541965555216915,0.14652128040520696,0.14520964484611876,0.1456819313166259,0.14224715885942482,0.14712372151060624,0.14231996832467336,0.13943677031067678,
0.14400000000000002,0.133,69.488,0.14215591350662177,0.14143692481696685,0.14383542013159367,0.1446384546185563,0.14354015641900608,0.1439011775284473,0.14093677420944772,0.14518103234863416,0.14125362566355096,0.1376326425483217,
0.14300000000000002,0.132,70.058,0.13958330147620251,0.1387372417245516,0.1406669492904427,0.1408727019892787,0.14020116863981036,0.14033976008309595,0.1383160049094935,0.14129545737522275,0.1391207436918389,0.1340243351300021,
0.14,0.131,70.342,0.13830145284891715,0.13739215117484785,0.13908825829234658,0.1389964803472364,0.1385374813719815,0.13856529634662668,0.13701077684554647,0.13935953076992993,0.13805798442100858,0.13222602764562902,
0.136,0.13,70.91199999999999,0.1357288845183795,0.13469247354491778,0.13591977106374004,0.13523079326778126,0.13519847174284497,0.13500387070754752,0.13438939574724967,0.13547406504622256,0.13592534279864538,0.12861728049725069,
0.133,0.129,71.48100000000001,0.1331607735757661,0.1319975346208999,0.13275686649500923,0.1314717130641771,0.13186533974778505,0.13144871327023688,0.13177352083403587,0.13159539465410564,0.13379626271663347,0.1250150118563212,
0.13,0.128,72.05,0.13059266263315275,0.12930259842812458,0.12959394007633762,0.12771260554814692,0.12853222960266597,0.12789349028310382,0.1291570341224795,0.1277167133370183,0.13166733558420718,0.12141307096450374,
0.12300000000000001,0.127,72.62,0.12801991950308866,0.12660291260446674,0.1264254583102163,0.12394691573744915,0.12519323089849982,0.12433207010650986,0.12653661442157818,0.12383119298845893,0.12953440991261353,0.11780315484429235,
0.11900000000000001,0.126,73.189,0.1254518959602385,0.12390798460541926,0.12326254827900028,0.12018785738378579,0.12186007705349913,0.12077693178789742,0.12392073950836437,0.11995248982143081,0.12740524243083837,0.11474030661699433,
0.11699999999999999,0.126,73.759,0.12287919653005601,0.12120831516921701,0.12009406651287893,0.11642212933569161,0.11852106742436258,0.11721547883639225,0.12129953320959405,0.11606700224778263,0.12535344558945488,0.11322208533007697,
0.113,0.125,74.328,0.12031099818767942,0.11851336532022871,0.11693113463172211,0.11266304366960225,0.1151879682042139,0.1136602749679574,0.11868392049566989,0.11218835370560651,0.12330534138806751,0.11170710875936916,
0.10800000000000001,0.124,74.89699999999999,0.11774293094494766,0.11581842639621082,0.11376823006299132,0.1089039907784241,0.11185479250927238,0.11010508202449296,0.11606752118387675,0.10830969423846,0.1212570623871537,0.10929051623127034,
0.10400000000000001,0.12300000000000001,75.182,0.11645662492973802,0.11446859167810969,0.11218397825496024,0.1070211103669214,0.1101852822322189,0.10832439378613677,0.11475704913413642,0.10636697230157671,0.12023120766634357,0.1080160911213736,
0.106,0.12300000000000001,75.751,0.11388851398712466,0.11177364729160659,0.10902106276125904,0.10326202470083204,0.10685215023715901,0.10537167472298282,0.11214091202163294,0.10386860090752874,0.11818299421525216,0.10547228823790616,
